,Estacion,Year,Mes,Valor_prom
0,COMODA LA [24010110],1970,1,2.306451613
1,COMODA LA [24010110],1970,2,1.507142857
2,COMODA LA [24010110],1970,3,
3,COMODA LA [24010110],1970,4,
4,COMODA LA [24010110],1970,5,
5,COMODA LA [24010110],1970,6,
6,COMODA LA [24010110],1970,7,
7,COMODA LA [24010110],1970,8,
8,COMODA LA [24010110],1970,9,
9,COMODA LA [24010110],1970,10,
10,COMODA LA [24010110],1970,11,
11,COMODA LA [24010110],1970,12,
12,COMODA LA [24010110],1971,1,
13,COMODA LA [24010110],1971,2,
14,COMODA LA [24010110],1971,3,
15,COMODA LA [24010110],1971,4,
16,COMODA LA [24010110],1971,5,
17,COMODA LA [24010110],1971,6,
18,COMODA LA [24010110],1971,7,
19,COMODA LA [24010110],1971,8,
20,COMODA LA [24010110],1971,9,
21,COMODA LA [24010110],1971,10,
22,COMODA LA [24010110],1971,11,
23,COMODA LA [24010110],1971,12,
24,COMODA LA [24010110],1972,1,
25,COMODA LA [24010110],1972,2,
26,COMODA LA [24010110],1972,3,
27,COMODA LA [24010110],1972,4,
28,COMODA LA [24010110],1972,5,
29,COMODA LA [24010110],1972,6,
30,COMODA LA [24010110],1972,7,
31,COMODA LA [24010110],1972,8,
32,COMODA LA [24010110],1972,9,
33,COMODA LA [24010110],1972,10,
34,COMODA LA [24010110],1972,11,
35,COMODA LA [24010110],1972,12,
36,COMODA LA [24010110],1973,1,
37,COMODA LA [24010110],1973,2,
38,COMODA LA [24010110],1973,3,
39,COMODA LA [24010110],1973,4,
40,COMODA LA [24010110],1973,5,
41,COMODA LA [24010110],1973,6,
42,COMODA LA [24010110],1973,7,
43,COMODA LA [24010110],1973,8,
44,COMODA LA [24010110],1973,9,
45,COMODA LA [24010110],1973,10,
46,COMODA LA [24010110],1973,11,
47,COMODA LA [24010110],1973,12,
48,COMODA LA [24010110],1974,1,
49,COMODA LA [24010110],1974,2,
50,COMODA LA [24010110],1974,3,
51,COMODA LA [24010110],1974,4,
52,COMODA LA [24010110],1974,5,
53,COMODA LA [24010110],1974,6,
54,COMODA LA [24010110],1974,7,
55,COMODA LA [24010110],1974,8,
56,COMODA LA [24010110],1974,9,
57,COMODA LA [24010110],1974,10,
58,COMODA LA [24010110],1974,11,
59,COMODA LA [24010110],1974,12,
60,COMODA LA [24010110],1975,1,
61,COMODA LA [24010110],1975,2,
62,COMODA LA [24010110],1975,3,
63,COMODA LA [24010110],1975,4,
64,COMODA LA [24010110],1975,5,
65,COMODA LA [24010110],1975,6,
66,COMODA LA [24010110],1975,7,
67,COMODA LA [24010110],1975,8,
68,COMODA LA [24010110],1975,9,
69,COMODA LA [24010110],1975,10,
70,COMODA LA [24010110],1975,11,
71,COMODA LA [24010110],1975,12,
72,COMODA LA [24010110],1976,1,
73,COMODA LA [24010110],1976,2,
74,COMODA LA [24010110],1976,3,
75,COMODA LA [24010110],1976,4,
76,COMODA LA [24010110],1976,5,
77,COMODA LA [24010110],1976,6,
78,COMODA LA [24010110],1976,7,
79,COMODA LA [24010110],1976,8,
80,COMODA LA [24010110],1976,9,
81,COMODA LA [24010110],1976,10,
82,COMODA LA [24010110],1976,11,
83,COMODA LA [24010110],1976,12,
84,COMODA LA [24010110],1977,1,
85,COMODA LA [24010110],1977,2,
86,COMODA LA [24010110],1977,3,
87,COMODA LA [24010110],1977,4,
88,COMODA LA [24010110],1977,5,
89,COMODA LA [24010110],1977,6,
90,COMODA LA [24010110],1977,7,
91,COMODA LA [24010110],1977,8,
92,COMODA LA [24010110],1977,9,
93,COMODA LA [24010110],1977,10,
94,COMODA LA [24010110],1977,11,
95,COMODA LA [24010110],1977,12,
96,COMODA LA [24010110],1978,1,
97,COMODA LA [24010110],1978,2,
98,COMODA LA [24010110],1978,3,
99,COMODA LA [24010110],1978,4,
100,COMODA LA [24010110],1978,5,
101,COMODA LA [24010110],1978,6,
102,COMODA LA [24010110],1978,7,
103,COMODA LA [24010110],1978,8,
104,COMODA LA [24010110],1978,9,
105,COMODA LA [24010110],1978,10,
106,COMODA LA [24010110],1978,11,
107,COMODA LA [24010110],1978,12,
108,COMODA LA [24010110],1979,1,
109,COMODA LA [24010110],1979,2,
110,COMODA LA [24010110],1979,3,
111,COMODA LA [24010110],1979,4,
112,COMODA LA [24010110],1979,5,
113,COMODA LA [24010110],1979,6,
114,COMODA LA [24010110],1979,7,
115,COMODA LA [24010110],1979,8,
116,COMODA LA [24010110],1979,9,
117,COMODA LA [24010110],1979,10,
118,COMODA LA [24010110],1979,11,
119,COMODA LA [24010110],1979,12,
120,COMODA LA [24010110],1980,1,
121,COMODA LA [24010110],1980,2,
122,COMODA LA [24010110],1980,3,
123,COMODA LA [24010110],1980,4,
124,COMODA LA [24010110],1980,5,
125,COMODA LA [24010110],1980,6,
126,COMODA LA [24010110],1980,7,
127,COMODA LA [24010110],1980,8,
128,COMODA LA [24010110],1980,9,
129,COMODA LA [24010110],1980,10,
130,COMODA LA [24010110],1980,11,
131,COMODA LA [24010110],1980,12,
132,COMODA LA [24010110],1981,1,
133,COMODA LA [24010110],1981,2,
134,COMODA LA [24010110],1981,3,
135,COMODA LA [24010110],1981,4,
136,COMODA LA [24010110],1981,5,
137,COMODA LA [24010110],1981,6,
138,COMODA LA [24010110],1981,7,
139,COMODA LA [24010110],1981,8,
140,COMODA LA [24010110],1981,9,
141,COMODA LA [24010110],1981,10,
142,COMODA LA [24010110],1981,11,
143,COMODA LA [24010110],1981,12,
144,COMODA LA [24010110],1982,1,
145,COMODA LA [24010110],1982,2,
146,COMODA LA [24010110],1982,3,
147,COMODA LA [24010110],1982,4,
148,COMODA LA [24010110],1982,5,
149,COMODA LA [24010110],1982,6,
150,COMODA LA [24010110],1982,7,
151,COMODA LA [24010110],1982,8,
152,COMODA LA [24010110],1982,9,
153,COMODA LA [24010110],1982,10,
154,COMODA LA [24010110],1982,11,
155,COMODA LA [24010110],1982,12,
156,COMODA LA [24010110],1983,1,
157,COMODA LA [24010110],1983,2,
158,COMODA LA [24010110],1983,3,
159,COMODA LA [24010110],1983,4,
160,COMODA LA [24010110],1983,5,
161,COMODA LA [24010110],1983,6,
162,COMODA LA [24010110],1983,7,
163,COMODA LA [24010110],1983,8,
164,COMODA LA [24010110],1983,9,
165,COMODA LA [24010110],1983,10,
166,COMODA LA [24010110],1983,11,
167,COMODA LA [24010110],1983,12,
168,COMODA LA [24010110],1984,1,
169,COMODA LA [24010110],1984,2,
170,COMODA LA [24010110],1984,3,
171,COMODA LA [24010110],1984,4,
172,COMODA LA [24010110],1984,5,
173,COMODA LA [24010110],1984,6,
174,COMODA LA [24010110],1984,7,
175,COMODA LA [24010110],1984,8,
176,COMODA LA [24010110],1984,9,
177,COMODA LA [24010110],1984,10,
178,COMODA LA [24010110],1984,11,
179,COMODA LA [24010110],1984,12,
180,COMODA LA [24010110],1985,1,
181,COMODA LA [24010110],1985,2,
182,COMODA LA [24010110],1985,3,
183,COMODA LA [24010110],1985,4,
184,COMODA LA [24010110],1985,5,
185,COMODA LA [24010110],1985,6,
186,COMODA LA [24010110],1985,7,
187,COMODA LA [24010110],1985,8,
188,COMODA LA [24010110],1985,9,
189,COMODA LA [24010110],1985,10,
190,COMODA LA [24010110],1985,11,
191,COMODA LA [24010110],1985,12,
192,COMODA LA [24010110],1986,1,
193,COMODA LA [24010110],1986,2,
194,COMODA LA [24010110],1986,3,
195,COMODA LA [24010110],1986,4,
196,COMODA LA [24010110],1986,5,
197,COMODA LA [24010110],1986,6,
198,COMODA LA [24010110],1986,7,
199,COMODA LA [24010110],1986,8,
200,COMODA LA [24010110],1986,9,
201,COMODA LA [24010110],1986,10,
202,COMODA LA [24010110],1986,11,
203,COMODA LA [24010110],1986,12,
204,COMODA LA [24010110],1987,1,
205,COMODA LA [24010110],1987,2,
206,COMODA LA [24010110],1987,3,
207,COMODA LA [24010110],1987,4,
208,COMODA LA [24010110],1987,5,
209,COMODA LA [24010110],1987,6,
210,COMODA LA [24010110],1987,7,
211,COMODA LA [24010110],1987,8,
212,COMODA LA [24010110],1987,9,
213,COMODA LA [24010110],1987,10,
214,COMODA LA [24010110],1987,11,
215,COMODA LA [24010110],1987,12,
216,COMODA LA [24010110],1988,1,
217,COMODA LA [24010110],1988,2,
218,COMODA LA [24010110],1988,3,
219,COMODA LA [24010110],1988,4,
220,COMODA LA [24010110],1988,5,
221,COMODA LA [24010110],1988,6,
222,COMODA LA [24010110],1988,7,
223,COMODA LA [24010110],1988,8,
224,COMODA LA [24010110],1988,9,
225,COMODA LA [24010110],1988,10,
226,COMODA LA [24010110],1988,11,
227,COMODA LA [24010110],1988,12,
228,COMODA LA [24010110],1989,1,
229,COMODA LA [24010110],1989,2,
230,COMODA LA [24010110],1989,3,
231,COMODA LA [24010110],1989,4,
232,COMODA LA [24010110],1989,5,
233,COMODA LA [24010110],1989,6,
234,COMODA LA [24010110],1989,7,
235,COMODA LA [24010110],1989,8,
236,COMODA LA [24010110],1989,9,
237,COMODA LA [24010110],1989,10,
238,COMODA LA [24010110],1989,11,
239,COMODA LA [24010110],1989,12,
240,COMODA LA [24010110],1990,1,
241,COMODA LA [24010110],1990,2,
242,COMODA LA [24010110],1990,3,
243,COMODA LA [24010110],1990,4,
244,COMODA LA [24010110],1990,5,
245,COMODA LA [24010110],1990,6,
246,COMODA LA [24010110],1990,7,
247,COMODA LA [24010110],1990,8,
248,COMODA LA [24010110],1990,9,
249,COMODA LA [24010110],1990,10,
250,COMODA LA [24010110],1990,11,
251,COMODA LA [24010110],1990,12,
252,COMODA LA [24010110],1991,1,
253,COMODA LA [24010110],1991,2,
254,COMODA LA [24010110],1991,3,
255,COMODA LA [24010110],1991,4,
256,COMODA LA [24010110],1991,5,
257,COMODA LA [24010110],1991,6,
258,COMODA LA [24010110],1991,7,
259,COMODA LA [24010110],1991,8,
260,COMODA LA [24010110],1991,9,
261,COMODA LA [24010110],1991,10,
262,COMODA LA [24010110],1991,11,
263,COMODA LA [24010110],1991,12,
264,COMODA LA [24010110],1992,1,
265,COMODA LA [24010110],1992,2,
266,COMODA LA [24010110],1992,3,
267,COMODA LA [24010110],1992,4,
268,COMODA LA [24010110],1992,5,
269,COMODA LA [24010110],1992,6,
270,COMODA LA [24010110],1992,7,
271,COMODA LA [24010110],1992,8,
272,COMODA LA [24010110],1992,9,
273,COMODA LA [24010110],1992,10,
274,COMODA LA [24010110],1992,11,
275,COMODA LA [24010110],1992,12,
276,COMODA LA [24010110],1993,1,
277,COMODA LA [24010110],1993,2,
278,COMODA LA [24010110],1993,3,
279,COMODA LA [24010110],1993,4,
280,COMODA LA [24010110],1993,5,
281,COMODA LA [24010110],1993,6,
282,COMODA LA [24010110],1993,7,
283,COMODA LA [24010110],1993,8,
284,COMODA LA [24010110],1993,9,
285,COMODA LA [24010110],1993,10,
286,COMODA LA [24010110],1993,11,
287,COMODA LA [24010110],1993,12,
288,COMODA LA [24010110],1994,1,
289,COMODA LA [24010110],1994,2,
290,COMODA LA [24010110],1994,3,
291,COMODA LA [24010110],1994,4,
292,COMODA LA [24010110],1994,5,
293,COMODA LA [24010110],1994,6,
